SoS_Lookup_CU_ID,MapData_CU_ID,CU_MetricsData_CU_ID,CU_TimeSeriesData_CU_ID,Pop_TimeSeriesData_CU_ID,CU_ID
CK_03,CK-03,CK-03,CK-03,CK-03,CK-03
CK_04,CK-04,CK-04,CK-04,CK-04,CK-04
CK_05,CK-05,CK-05,CK-05,CK-05,CK-05
CK_06,CK-06,CK-06,CK-06,CK-06,CK-06
CK_07,CK-07,CK-07,CK-07,CK-07,CK-07
CK_08,CK-08,CK-08,CK-08,CK-08,CK-08
CK_09,CK-09,CK-09,CK-09,CK-09,CK-09
CK_10,CK-10,CK-10,CK-10,CK-10,CK-10
CK_11,CK-11,CK-11,CK-11,CK-11,CK-11
CK_12,CK-12,CK-12,CK-12,CK-12,CK-12
CK_13,CK-13,CK-13,CK-13,CK-13,CK-13
CK_14,CK-14,CK-14,CK-14,CK-14,CK-14
CK_15,CK-15,CK-15,CK-15,CK-15,CK-15
CK_16,CK-16,CK-16,CK-16,CK-16,CK-16
CK_17,CK-17,CK-17,CK-17,CK-17,CK-17
CK_18,CK-18,CK-18,CK-18,CK-18,CK-18
CK_19,CK-19,CK-19,CK-19,CK-19,CK-19
CK_82,CK-82,CK-82,CK-82,CK-82,CK-82
,CO-04,,,,CO-04
CO_02,CO-05,CO-02,CO_02,CO_02,CO-05
CO_03,CO-07,CO-03,CO_03,CO_03,CO-07
CO_05,CO-08,CO-05,CO_05,CO_05,CO-08
CO_04,CO-09,CO-04,CO_04,CO_04,CO-09
,CO-47,,,,CO-47
CO_01,CO-48,CO-01,CO_01,CO_06,CO-48
CU_1,SEL-07-01,CU-1,CU_1,L-07-01,CU-01
CU_10,SEL-06-11,CU-10,CU_10,L-06-11,CU-10
CU_11,SEL-03-04,CU-11,CU_11,L-03-04,CU-11
CU_12,SEL-04-01,CU-12,CU_12,L-04-01,CU-12
CU_13,SEL-03-03,CU-13,CU_13,L-03-03,CU-13
CU_14,SEL-05-02,CU-14,CU_14,L-05-02,CU-14
CU_15,SEL-06-16,CU-15,CU_15,L-06-16,CU-15
CU_16,SER-02,CU-16,CU_16,R-02,CU-16
CU_17,SEL-03-01,CU-17,CU_17,L-03-01,CU-17
CU_18,SEL-06-14,CU-18,CU_18,L-06-14,CU-18
CU_19,SEL-06-01,CU-19,CU_19,L-06-01,CU-19
CU_2,SEL-10-01,CU-2,CU_2,L-10-01,CU-02
CU_20,SEL-09-02,CU-20,CU_20,L-09-02,CU-20
CU_21,SEL-06-13,CU-21,CU_21,L-06-13,CU-21
CU_22,SEL-06-10,CU-22,CU_22,L-06-10,CU-22
CU_23,SEL-09-03,CU-23,CU_23,L-09-03,CU-23
CU_3,SEL-06-20,CU-3,CU_3,L-06-20,CU-03
CU_4,SEL-10-03,CU-4,CU_4,L-10-03,CU-04
CU_5,SEL-03-05,CU-5,CU_5,L-03-05,CU-05
,SEL-06-02,,,L-06-02,CU-06
CU_6,SEL-06-03,CU-6,CU_6,L-06-03,CU-06
CU_7,SEL-06-07,CU-7,CU_7,L-06-07,CU-07
CU_8,SEL-03-02,CU-8,CU_8,L-03-02,CU-08
CU_9,SER-03,CU-9,CU_9,R-03,CU-09
,SEL-17-10,,,,Marie
